keys,eng,fi
howLongSing,How long have you been singing as a hobby?,Kuinka kauan olet harrastanut laulamista?
howOftenSingBefore,How often did you sing when you were most active with the hobby?,Kuinka usein lauloit harrastuksen aktiivisimmassa vaiheessa?
howOftenSingNow,How often do you sing nowadays?,Kuinka usein laulat nykyään?
howMuchTuitionSing,How much tuition have you received for singing (outside primary/lower secondary school)?,Kuinka paljon opetusta olet saanut laulamiseen (peruskoulun ulkopuolella)?
howLongInstrumentHobby,How long have you been playing a musical instrument as a hobby?,Kuinka kauan olet harrastanut musiikki-instrumentin soittamista?
howOftenPlayHobby,How often did you play when you were most active with the hobby?,Kuinka usein soitit harrastuksen aktiivisimmassa vaiheessa?
howOftenPlayNow,How often do you play nowadays?,Kuinka usein soitat nykyään?
howMuchTuitionInstrument,How much tuition have you received for playing (outside primary/lower secondary school)?,Kuinka paljon opetusta olet saanut soittamiseen (peruskoulun ulkopuolella)?
howLongDanceHobby,How long have you been dancing as a hobby?,Kuinka kauan olet harrastanut tanssimista?
howLongDanceHobyBefore,How often did you dance when you were most active with the hobby?,Kuinka usein tanssit harrastuksen aktiivisimmassa vaiheessa?
howOftenDanceNow,How often do you dance nowadays?,Kuinka usein tanssit nykyään?
howMuchTuitionDance,How much tuition have you received for dancing (outside primary/lower secondary school)?,Kuinka paljon opetusta olet saanut tanssimiseen (peruskoulun ulkopuolella)?
howOftenListenMusicNow,How often do you listen to music nowadays?,Kuinka usein kuuntelet musiikkia nykyään?
howMusical,How musical do you consider yourself?,Kuinka musikaaliseksi koet itsesi?
notAtAlMusical,not at all musical,en lainkaan musikaaliseksi
notThatMusical,not that musical,en kovin musikaaliseksi
aBitMusical,a bit musical,hieman musikaaliseksi
quiteMusical,quite musical,melko musikaaliseksi
veryMusical,very musical,hyvin musikaaliseksi
never,never,en koskaan
oneTwoYears,1-2 years,1-2 vuotta
threeFiveYears,3-5 years,3-5 vuotta
sixNineYears,6-9 years,6-9 vuotta
tenMoreYears,10 or more years,10 vuotta tai enemmän
veryRarely,very rarely,hyvin harvoin
monthly,monthly,kuukausittain
weekly,weekly,viikoittain
daily,daily,päivittäin
surveyMMBB,<b>Welcome to the MMBB survey!</b>,<b>Tervetuloa MMBB-kyselyyn!</b>
personalBackground,Personal background,Taustatietosi
musicalBackground,Musical background,Musiikkitaustasi
perception,Perception,Havainnointi
singing,Singing,Laulaminen
dancing,Dancing,Tanssiminen
musicalPreference,Musical preferences,Musiikkimieltymykset
musicalExperiences,Musical experiences,Musiikilliset kokemukset
prompt,"Please, answer the following:",Arvioidaan 5-portaisella asteikolla:
iCanTell,I can tell when people sing or play out of time with the beat,Huomaan kun ihmiset laulavat tai soittavat väärässä tahdissa
iCanTellTune,I can tell when people sing or play out of tune,Huomaan kun ihmiset laulavat tai soittavat epävireisesti
iFind,I find it easy to learn or imitate other people's movements,Minusta on helppo oppia tai matkia toisten liikkeitä.
haveTrouble,I have trouble recognizing a familiar song when played in a different way or by a different performer,Minun on hankala tunnistaa tuttu kappale kun se soitetaan eri tavalla tai eri esittäjä soittaa sen
whenISing,"When I sing, I have no idea whether I'm in tune or not",Laulaessani en tiedä lainkaan laulanko vireessä vai epävireessä
title,Here are questions about your background,Seuraavassa on kysymyksiä taustastasi
pleaseAnswer,"Please, answer the following questions",Ole hyvä ja vastaa seuraaviin kysymyksiin
primaryLanguage,What is your primary spoken language?,Mikä on äidinkielesi?
secondaryLanguage,What is your secondary spoken language? (If applicable),Mikä on toissijainen puhuttu kielesi? (jos on)
yearOfBirth,Date of birth,Syntymäpäivä
nationality,What is your nationality,Mikä on kansalaisuutesi?
gender,Gender,Sukupuoli
genderOther,"Gender, other:","Sukupuoli, muu:"
female,female,nainen
male,male,mies
other,"Other, what:","Muu, mikä:"
ratherNotSay,rather not say,en halua sanoa
education,Education,Koulutus
educationOther,"Education, other:","Koulutus, muu:"
primarySchool,Primary school/grade school,Kansakoulu
comprehensiveSchool,Comprehensive school/elementary school,Peruskoulu
secondaryEducation,Secondary education/High school,Lukio
vocationalTraining,Secondary education/Vocational training,Ammattikoulu tai vastaava
bachelors,Bachelor’s degree (University or University of applied sciences),Kandidaatin tutkinto (yliopisto tai ammattikorkeakoulu)
masters,Master’s degree (University or University of applied sciences),Maisterintutkinto (yliopisto tai ammattikorkeakoulu)
doctoral,Licentiate or doctoral degree,Lisensiaatin tai tohtorintutkinto
howMuchLikeGenre,"How much do you like the following musical genres? For each genre, select the option that best describes your preference.","Kuinka paljon pidät seuraavista musiikkityyleistä? Valitse jokaisen musiikkityylin kohdalla vaihtoehto, joka parhaiten kuvaa mieltymystäsi."
dislikeStrongly,dislike strongly,inhoan paljon
dislikeModerately,dislike moderately,inhoan kohtalaisesti
dislkikeAlittle,dislike a little,inhoan hieman
neutral,neither like nor dislike,siltä väliltä
likeALittle,like a little,pidän hieman
likeModerately,like moderately,pidän kohtalaisesti
likeStrongly,like strongly,pidän paljon
blues,Blues,Blues
jazz,Jazz,Jazz
classical,Classical,Klassinen
folk,Folk,Etno / kansanmusiikki
rock,Rock,Rock
alternative,Alternative,Vaihtoehto / indie
heavyMetal,Heavy metal,Metalli
country,Country,Kantri
religious,Religious,Hengellinen
pop,Pop,Pop / iskelmä
rap,Rap / hip hop,Rap / hip hop
soul,Soul / funk,Soul / funk
electronic,Electronic / dance,Elektroninen / dance
question,Here are statements about experiencing music and about the role of music in life. How do they apply to you? Select the option that best fits you.,"Seuraavassa on väitteitä musiikin kokemisesta ja merkityksestä elämässä. Missä määrin ne sopivat sinuun? Valitse vaihtoehto, joka parhaiten kuvaa sinua."
completelyDisagree,completely disagree,täysin eri mieltä
somewhatDisagree,somewhat disagree,jonkin verran eri mieltä
neitherDisagreeAgree,neither disagree nor agree,siltä väliltä
somewhatAgree,somewhat agree,jonkin verran samaa mieltä
completelyAgree,completely agree,täysin samaa mieltä
shareMusic,When I share music with someone I feel a special connection with that person.,"Kun jaan musiikkikokemuksen toisen kanssa, tunnen erityistä yhteyttä häneen"
freeNoListen,In my free time I hardly listen to music,En juurikaan kuuntele musiikkia vapaa-aikanani
listenEmotion,I like listen to music that contains emotion,"Pidän sellaisen musiikin kuuntelusta, jossa on tunnetta"
musicCompany,Music keeps me company when I’m alone,Musiikki pitää minulle seuraa yksin ollessani
dontLikeDance,"I don’t like to dance, not even with music I like",En pidä tanssimisesta edes mielimusiikkini tahtiin
musicMakesMeBond,Music makes me bond with other people,Musiikki saa minut kokemaan yhteenkuuluvuutta muiden kanssa
informMyself,I inform myself about music I like,Pidän itseni ajan tasalla makuani vastaavasta musiikista
getEmotional,I get emotional listening to certain pieces of music,"Liikutun, kun kuuntelen tiettyjä musiikkikappaleita"
musicCalms,Music calms and relaxes me,Musiikki rauhoittaa ja rentouttaa minua
musicMakesMeDanceOften,Music often makes me dance,Musiikki saa minut usein tanssimaan
