keys,eng,fi
instruction1,"In this task, we will ask you to place your phone on a table, and tap on a button on the screen using the index finger of your preferred hand<br><img id='tableSVG' src='./images/tappingSVG.svg'></img>",Tässä tehtävässä pyydämme sinua naputtamaan ruudulla näkyvää painiketta vahvemman kätesi etusormella
instruction2,Tap on the button at a speed that feels natural to you,Naputa painiketta nopeudella joka tuntuu luontevalta
instruction3,Try to keep the tapping speed as constant as possible,Yritä pitää nopeus mahdollisimman tasaisena
instruction4,"In the next task, you will hear a constant beat<br><img id='ear' src='./images/ear.svg'></img>",Seuraavassa tehtävässä kuulet tasaisen sykkeen
instruction5,Your task is to tap in synchrony to the beat,Naputa tahdissa sykkeen mukana
instruction6,"This is an example: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/metronome2.mp4"" type=""video/mp4""></video>","Tässä on esimerkki: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/metronome2.mp4"" type=""video/mp4""></video>"
instruction7,"In the next task, you will hear a rhythmic pattern<br><img id='tableSVG' src='./images/table.svg'></img>",Seuraavassa tehtävässä kuulet rytmikuivon<br><img id='tableSVG' src='./images/table.svg'></img>
instruction8,Your task is to tap in synchrony to the beat of the rhythmic pattern<br><img id='tableSVG' src='./images/tappingSVG.svg'></img>,Naputa tahdissa rytmikuvion sykkeen mukana<br><img id='tableSVG' src='./images/tappingSVG.svg'></img>
instruction9,"This is an example: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/hemiole.mp4"" type=""video/mp4""></video>","Tässä on esimerkki: <br><video id=""myVideo"" width=""100%"" controls><source src=""./songs/movementTapAudio/exampleTapping/hemiole.mp4"" type=""video/mp4""></video>"
instruction10,In the next task you will hear a musical piece<br><img id='ear' src='./images/ear.svg'></img>,Seuraavassa tehtävässä kuulet musiikkikappaleen<br><img id='ear' src='./images/ear.svg'></img>
instruction11,Your task is to tap in synchrony to the beat of the music,Naputa tahdissa musiikin sykkeen mukana
tapHere,Tap here,Napauta tästä
recording,Recording taps...,Tallennetaan naputuksia...
openPage,Tapping task,Naputustehtävä
rhythmOpen,<b>Welcome to the Rhythm task</b>,<b>Tervetuloa Rytmitehtävään</b>
